trialId,ts,ret
t0,1700000000,-0.00339117
t0,1700086400,0.01257086
t0,1700172800,-0.00876549
t0,1700259200,0.00726047
t0,1700345600,-0.00184986
t0,1700432000,0.01286127
t0,1700518400,-0.00931650
t0,1700604800,-0.01261767
t0,1700691200,-0.00034997
t0,1700777600,-0.00395092
t0,1700864000,-0.00270847
t0,1700950400,-0.00045727
t0,1701036800,0.00324301
t0,1701123200,0.01891768
t0,1701209600,-0.00730455
t0,1701296000,-0.00912869
t0,1701382400,0.00714385
t0,1701468800,-0.01822786
t0,1701555200,0.01733091
t0,1701641600,-0.00002604
t0,1701728000,0.00731989
t0,1701814400,-0.00908079
t0,1701900800,0.00827260
t0,1701987200,-0.00612965
t0,1702073600,-0.00864384
t0,1702160000,0.00322270
t0,1702246400,-0.01114922
t0,1702332800,0.01065857
t0,1702419200,0.01036316
t0,1702505600,-0.00234667
t0,1702592000,0.00392266
t0,1702678400,0.00638805
t0,1702764800,0.00220549
t0,1702851200,-0.00741249
t0,1702937600,-0.00447643
t0,1703024000,-0.00395777
t0,1703110400,-0.02264305
t0,1703196800,-0.00704591
t0,1703283200,0.01105262
t0,1703369600,0.00830515
t0,1703456000,0.00202424
t0,1703542400,0.00352509
t0,1703628800,0.00301478
t0,1703715200,0.00167237
t0,1703801600,-0.01290958
t0,1703888000,-0.00047845
t0,1703974400,-0.02836211
t0,1704060800,-0.00606639
t0,1704147200,-0.00388844
t0,1704233600,-0.01284876
t0,1704320000,-0.00355702
t0,1704406400,-0.00271690
t0,1704492800,0.01220493
t0,1704579200,0.01846132
t0,1704665600,0.01236820
t0,1704752000,0.00440005
t0,1704838400,0.02092518
t0,1704924800,-0.00536020
t0,1705011200,-0.01622130
t0,1705097600,-0.01869178
t0,1705184000,0.02054910
t0,1705270400,-0.01381894
t0,1705356800,-0.00860205
t0,1705443200,-0.00363365
t0,1705529600,0.01601893
t0,1705616000,-0.00279465
t0,1705702400,0.01065488
t0,1705788800,-0.01403846
t0,1705875200,-0.00671730
t0,1705961600,-0.01015468
t0,1706048000,0.01328115
t0,1706134400,-0.00057159
t0,1706220800,-0.00900734
t0,1706307200,-0.00809107
t0,1706393600,-0.00491621
t0,1706480000,0.00469079
t0,1706566400,-0.02016011
t0,1706652800,-0.00346065
t0,1706739200,0.01136297
t0,1706825600,-0.00929927
t0,1706912000,0.02267165
t0,1706998400,-0.00413518
t0,1707084800,0.02021482
t0,1707171200,0.00072265
t0,1707257600,-0.00396562
t0,1707344000,-0.00862601
t0,1707430400,-0.00966688
t0,1707516800,-0.01622820
t0,1707603200,-0.00780557
t0,1707689600,0.01050778
t0,1707776000,-0.00626708
t0,1707862400,-0.00087628
t0,1707948800,0.00833434
t0,1708035200,0.01316080
t0,1708121600,0.00212093
t0,1708208000,0.01328046
t0,1708294400,0.00116787
t0,1708380800,-0.00581452
t0,1708467200,0.00703249
t0,1708553600,0.00082499
t0,1708640000,0.00816129
t0,1708726400,-0.00206502
t0,1708812800,0.00398516
t0,1708899200,0.00370272
t0,1708985600,-0.00749533
t0,1709072000,-0.00453317
t0,1709158400,0.02030313
t0,1709244800,-0.00258846
t0,1709331200,-0.01882952
t0,1709417600,0.01076964
t0,1709504000,-0.00343331
t0,1709590400,-0.00308237
t0,1709676800,-0.00600893
t0,1709763200,-0.01686176
t0,1709849600,0.01348221
t0,1709936000,-0.00969566
t0,1710022400,0.00055100
t0,1710108800,-0.01323388
t0,1710195200,-0.00349163
t0,1710281600,0.00298354
t0,1710368000,0.00356505
t0,1710454400,-0.02290398
t0,1710540800,0.01706356
t0,1710627200,0.00681071
t0,1710713600,-0.00476173
t0,1710800000,0.00580031
t0,1710886400,0.00025290
t0,1710972800,0.00910571
t0,1711059200,-0.01155216
t0,1711145600,0.00292257
t0,1711232000,-0.00363762
t0,1711318400,0.00036450
t0,1711404800,0.00983902
t0,1711491200,-0.01111570
t0,1711577600,-0.00882911
t0,1711664000,0.00880807
t0,1711750400,0.00605186
t0,1711836800,0.01001693
t0,1711923200,0.00187653
t0,1712009600,-0.00681454
t0,1712096000,0.00085510
t0,1712182400,-0.01590548
t0,1712268800,0.00499309
t0,1712355200,0.01533464
t0,1712441600,0.02098462
t0,1712528000,0.01013033
t0,1712614400,0.00562614
t0,1712700800,-0.00510966
t0,1712787200,0.00538570
t0,1712873600,-0.00442565
t0,1712960000,0.00006916
t0,1713046400,-0.00161892
t0,1713132800,-0.00178974
t0,1713219200,0.00535583
t0,1713305600,0.00546428
t0,1713392000,-0.00736723
t0,1713478400,-0.00498108
t0,1713564800,0.01428495
t0,1713651200,0.00473121
t0,1713737600,-0.00007146
t0,1713824000,-0.01383448
t0,1713910400,0.02290942
t0,1713996800,0.00585596
t0,1714083200,0.00147523
t0,1714169600,-0.00193040
t0,1714256000,0.00104388
t0,1714342400,-0.00742467
t0,1714428800,0.01575348
t0,1714515200,0.00085894
t0,1714601600,0.02036335
t0,1714688000,-0.00112590
t0,1714774400,0.01280974
t0,1714860800,0.00638928
t0,1714947200,0.00449662
t0,1715033600,-0.00837923
t0,1715120000,-0.01052515
t0,1715206400,-0.00312560
t0,1715292800,0.00996055
t0,1715379200,0.01523260
t0,1715465600,0.00844406
t0,1715552000,0.01856872
t0,1715638400,0.01329688
t0,1715724800,0.00947304
t0,1715811200,-0.00749781
t0,1715897600,-0.00629183
t0,1715984000,0.00481702
t0,1716070400,-0.01234089
t0,1716156800,-0.01349055
t0,1716243200,0.00044502
t0,1716329600,0.00110264
t0,1716416000,-0.00536292
t0,1716502400,0.00834396
t0,1716588800,-0.00300417
t0,1716675200,0.00820229
t0,1716761600,0.00057578
t0,1716848000,-0.00039493
t0,1716934400,-0.00599013
t0,1717020800,-0.00230811
t0,1717107200,0.00764944
t0,1717193600,0.00643901
t0,1717280000,-0.00291934
t0,1717366400,-0.00196976
t0,1717452800,-0.01728690
t0,1717539200,0.00830307
t0,1717625600,0.01234114
t0,1717712000,0.01031166
t0,1717798400,0.00759951
t0,1717884800,0.01292997
t0,1717971200,0.00317279
t0,1718057600,-0.00498291
t0,1718144000,0.00040530
t0,1718230400,0.00789815
t0,1718316800,0.00387410
t0,1718403200,0.00854250
t0,1718489600,-0.00614021
t0,1718576000,0.00534040
t0,1718662400,-0.00914044
t0,1718748800,0.00141481
t0,1718835200,0.00158540
t0,1718921600,-0.00237855
t0,1719008000,0.00745255
t0,1719094400,-0.00423314
t0,1719180800,0.00370502
t0,1719267200,-0.01001749
t0,1719353600,-0.00696749
t0,1719440000,0.01465079
t0,1719526400,0.01779854
t0,1719612800,-0.02346443
t0,1719699200,-0.00444298
t0,1719785600,-0.01149970
t0,1719872000,-0.00268161
t0,1719958400,0.02864617
t0,1720044800,-0.00066430
t0,1720131200,0.00373455
t0,1720217600,0.00045866
t0,1720304000,-0.00831327
t0,1720390400,0.00756769
t0,1720476800,-0.00734141
t0,1720563200,0.00225306
t0,1720649600,0.00238316
t0,1720736000,-0.00888077
t0,1720822400,0.00479676
